t,ax,ay,az
9.166275978088379,0.2572,0.2997,-0.7725
9.174447774887085,0.2538,0.2711,-0.7796
9.18682074546814,0.3076,0.2896,-0.6936
9.194932460784912,0.1931,0.266,-0.5338
9.206930875778198,0.1706,0.1674,-0.4683
9.215466022491455,0.0247,0.0405,-0.1898
9.227075099945068,-0.087,-0.0887,0.282
9.235649347305298,-0.1985,-0.2297,0.6406
9.247446537017822,-0.2395,-0.2505,0.8714
9.256141185760498,-0.273,-0.2495,0.9663
9.264426231384277,-0.2978,-0.3038,0.9689
9.276498079299927,-0.2537,-0.2878,0.7851
9.284937620162964,-0.2629,-0.2813,0.6394
9.296871185302734,-0.249,-0.1959,0.475
9.30535101890564,-0.2109,-0.1043,0.3409
9.317205667495728,-0.1495,-0.0491,0.2343
9.325825214385986,-0.0771,0.0643,-0.0359
9.334136009216309,0.0145,0.1011,-0.2625
9.34631872177124,0.09,0.1553,-0.3732
9.35451889038086,0.1582,0.2229,-0.5018
9.366537094116211,0.1962,0.2874,-0.6281
9.375135660171509,0.235,0.2822,-0.6242
9.38705587387085,0.2347,0.2719,-0.6906
9.395577192306519,0.2223,0.2303,-0.6847
9.407344341278076,0.1991,0.1594,-0.587
9.416419744491577,0.1856,0.1782,-0.4386
9.424709558486938,0.1677,0.0621,-0.3987
9.436885118484497,0.0881,-0.0057,-0.3378
9.445244789123535,-0.0151,-0.0914,0.0287
9.457250356674194,-0.1136,-0.1118,0.4304
9.465662002563477,-0.2677,-0.1569,0.7292
9.47751235961914,-0.285,-0.2183,0.9196
9.486361026763916,-0.2885,-0.2811,0.9211
9.497882604598999,-0.2418,-0.2771,0.7447
9.506887674331665,-0.2038,-0.2681,0.6028
9.514990091323853,-0.2195,-0.275,0.4593
9.527180910110474,-0.1429,-0.1589,0.2255
9.53541612625122,-0.1252,-0.0833,0.077
9.54738473892212,-0.0331,0.0024,-0.0504
9.555829286575317,0.0583,0.0684,-0.2561
9.567440271377563,0.1411,0.1332,-0.4506
9.576367139816284,0.2123,0.183,-0.5629
9.587894678115845,0.2438,0.2541,-0.6572
9.598329544067383,0.234,0.2972,-0.7515
9.6051607131958,0.2423,0.2818,-0.7632
9.617170333862305,0.2178,0.2518,-0.7515
9.625540256500244,0.284,0.2732,-0.6214
9.637583255767822,0.1945,0.1668,-0.4182
9.645786762237549,0.1592,0.029,-0.3773
9.65774917602539,0.0582,-0.1002,0.0085
9.666548252105713,-0.052,-0.2184,0.4073
9.678015232086182,-0.1548,-0.2715,0.702
9.687091827392578,-0.2382,-0.3069,0.8915
9.695237398147583,-0.2696,-0.2968,0.9577
9.707266092300415,-0.2592,-0.2305,0.7991
9.71565556526184,-0.2225,-0.1895,0.6408
9.727421998977661,-0.2111,-0.1303,0.435
9.736098527908325,-0.1737,-0.0714,0.2809
9.747737884521484,-0.106,-0.0451,0.1365
9.756669282913208,-0.0958,-0.0443,0.1039
9.767932891845703,-0.0262,0.0118,-0.0704
9.777055263519287,0.0261,0.0279,-0.1277
9.785295248031616,0.0947,0.076,-0.238
9.797712564468384,0.0958,0.1254,-0.4091
