t,msg_type,payload
1773704294.6221862,ReferenceFreqMsg,"{'t': 1773704294.6221862, 'f_ref': 7.5}"
1773704294.6237388,ReferenceFreqMsg,"{'t': 1773704294.6237388, 'f_ref': 7.5}"
1773704294.6251676,ReferenceFreqMsg,"{'t': 1773704294.6251676, 'f_ref': 7.5}"
1773704294.6265528,ReferenceFreqMsg,"{'t': 1773704294.6265528, 'f_ref': 7.5}"
1773704294.6279523,ReferenceFreqMsg,"{'t': 1773704294.6279523, 'f_ref': 7.5}"
1773704294.6294231,ReferenceFreqMsg,"{'t': 1773704294.6294231, 'f_ref': 7.5}"
1773704294.6307356,ReferenceFreqMsg,"{'t': 1773704294.6307356, 'f_ref': 7.5}"
1773704294.6320455,ReferenceFreqMsg,"{'t': 1773704294.6320455, 'f_ref': 7.5}"
1773704294.6334832,ReferenceFreqMsg,"{'t': 1773704294.6334832, 'f_ref': 7.5}"
1773704294.6349454,ReferenceFreqMsg,"{'t': 1773704294.6349454, 'f_ref': 7.5}"
1773704294.6362898,ReferenceFreqMsg,"{'t': 1773704294.6362898, 'f_ref': 7.5}"
1773704294.6377559,ReferenceFreqMsg,"{'t': 1773704294.6377559, 'f_ref': 7.5}"
1773704294.6391277,ReferenceFreqMsg,"{'t': 1773704294.6391277, 'f_ref': 7.5}"
1773704294.6404922,ReferenceFreqMsg,"{'t': 1773704294.6404922, 'f_ref': 7.5}"
1773704294.6418927,ReferenceFreqMsg,"{'t': 1773704294.6418927, 'f_ref': 7.5}"
1773704294.6433558,ReferenceFreqMsg,"{'t': 1773704294.6433558, 'f_ref': 7.5}"
1773704294.6451795,ReferenceFreqMsg,"{'t': 1773704294.6451795, 'f_ref': 7.5}"
1773704294.6469724,ReferenceFreqMsg,"{'t': 1773704294.6469724, 'f_ref': 7.5}"
1773704294.6483922,ReferenceFreqMsg,"{'t': 1773704294.6483922, 'f_ref': 7.5}"
1773704294.6501243,ReferenceFreqMsg,"{'t': 1773704294.6501243, 'f_ref': 7.5}"
1773704294.6518338,ReferenceFreqMsg,"{'t': 1773704294.6518338, 'f_ref': 7.5}"
1773704294.6535025,ReferenceFreqMsg,"{'t': 1773704294.6535025, 'f_ref': 7.5}"
1773704294.6553316,ReferenceFreqMsg,"{'t': 1773704294.6553316, 'f_ref': 7.5}"
1773704294.6569564,ReferenceFreqMsg,"{'t': 1773704294.6569564, 'f_ref': 7.5}"
1773704294.6586766,ReferenceFreqMsg,"{'t': 1773704294.6586766, 'f_ref': 7.5}"
1773704294.6605184,ReferenceFreqMsg,"{'t': 1773704294.6605184, 'f_ref': 7.5}"
1773704294.6618426,ReferenceFreqMsg,"{'t': 1773704294.6618426, 'f_ref': 7.5}"
1773704294.663316,ReferenceFreqMsg,"{'t': 1773704294.663316, 'f_ref': 7.5}"
1773704294.6651726,ReferenceFreqMsg,"{'t': 1773704294.6651726, 'f_ref': 7.5}"
1773704294.666965,ReferenceFreqMsg,"{'t': 1773704294.666965, 'f_ref': 7.5}"
1773704294.6683075,ReferenceFreqMsg,"{'t': 1773704294.6683075, 'f_ref': 7.5}"
1773704294.6701086,ReferenceFreqMsg,"{'t': 1773704294.6701086, 'f_ref': 7.5}"
1773704294.6718707,ReferenceFreqMsg,"{'t': 1773704294.6718707, 'f_ref': 7.5}"
1773704294.673246,ReferenceFreqMsg,"{'t': 1773704294.673246, 'f_ref': 7.5}"
1773704294.6750197,ReferenceFreqMsg,"{'t': 1773704294.6750197, 'f_ref': 7.5}"
1773704294.6764157,ReferenceFreqMsg,"{'t': 1773704294.6764157, 'f_ref': 7.5}"
1773704294.6778553,ReferenceFreqMsg,"{'t': 1773704294.6778553, 'f_ref': 7.5}"
1773704294.6792047,ReferenceFreqMsg,"{'t': 1773704294.6792047, 'f_ref': 7.5}"
1773704294.680958,ReferenceFreqMsg,"{'t': 1773704294.680958, 'f_ref': 7.5}"
1773704294.6822748,ReferenceFreqMsg,"{'t': 1773704294.6822748, 'f_ref': 7.5}"
1773704294.6837354,ReferenceFreqMsg,"{'t': 1773704294.6837354, 'f_ref': 7.5}"
1773704294.6851568,ReferenceFreqMsg,"{'t': 1773704294.6851568, 'f_ref': 7.5}"
1773704294.6870172,ReferenceFreqMsg,"{'t': 1773704294.6870172, 'f_ref': 7.5}"
1773704294.688587,ReferenceFreqMsg,"{'t': 1773704294.688587, 'f_ref': 7.5}"
1773704294.6907775,ReferenceFreqMsg,"{'t': 1773704294.6907775, 'f_ref': 7.5}"
1773704294.692356,ReferenceFreqMsg,"{'t': 1773704294.692356, 'f_ref': 7.5}"
1773704294.6937969,ReferenceFreqMsg,"{'t': 1773704294.6937969, 'f_ref': 7.5}"
1773704294.6951447,ReferenceFreqMsg,"{'t': 1773704294.6951447, 'f_ref': 7.5}"
1773704294.6965277,ReferenceFreqMsg,"{'t': 1773704294.6965277, 'f_ref': 7.5}"
1773704294.6979723,ReferenceFreqMsg,"{'t': 1773704294.6979723, 'f_ref': 7.5}"
1773704294.6997364,ReferenceFreqMsg,"{'t': 1773704294.6997364, 'f_ref': 7.5}"
1773704294.7010868,ReferenceFreqMsg,"{'t': 1773704294.7010868, 'f_ref': 7.5}"
1773704294.7025042,ReferenceFreqMsg,"{'t': 1773704294.7025042, 'f_ref': 7.5}"
1773704294.704298,ReferenceFreqMsg,"{'t': 1773704294.704298, 'f_ref': 7.5}"
1773704294.7057414,ReferenceFreqMsg,"{'t': 1773704294.7057414, 'f_ref': 7.5}"
1773704294.707163,ReferenceFreqMsg,"{'t': 1773704294.707163, 'f_ref': 7.5}"
1773704294.7086735,ReferenceFreqMsg,"{'t': 1773704294.7086735, 'f_ref': 7.5}"
1773704294.7103565,ReferenceFreqMsg,"{'t': 1773704294.7103565, 'f_ref': 7.5}"
1773704294.7118006,ReferenceFreqMsg,"{'t': 1773704294.7118006, 'f_ref': 7.5}"
1773704294.7133238,ReferenceFreqMsg,"{'t': 1773704294.7133238, 'f_ref': 7.5}"
1773704294.7148566,ReferenceFreqMsg,"{'t': 1773704294.7148566, 'f_ref': 7.5}"
1773704294.7163055,ReferenceFreqMsg,"{'t': 1773704294.7163055, 'f_ref': 7.5}"
1773704294.718094,ReferenceFreqMsg,"{'t': 1773704294.718094, 'f_ref': 7.5}"
1773704294.719712,ReferenceFreqMsg,"{'t': 1773704294.719712, 'f_ref': 7.5}"
1773704294.7216582,ReferenceFreqMsg,"{'t': 1773704294.7216582, 'f_ref': 7.5}"
1773704294.7230775,ReferenceFreqMsg,"{'t': 1773704294.7230775, 'f_ref': 7.5}"
1773704294.7245178,ReferenceFreqMsg,"{'t': 1773704294.7245178, 'f_ref': 7.5}"
1773704294.7260044,ReferenceFreqMsg,"{'t': 1773704294.7260044, 'f_ref': 7.5}"
1773704294.7274475,ReferenceFreqMsg,"{'t': 1773704294.7274475, 'f_ref': 7.5}"
1773704294.7289922,ReferenceFreqMsg,"{'t': 1773704294.7289922, 'f_ref': 7.5}"
1773704294.7304118,ReferenceFreqMsg,"{'t': 1773704294.7304118, 'f_ref': 7.5}"
1773704294.7319093,ReferenceFreqMsg,"{'t': 1773704294.7319093, 'f_ref': 7.5}"
1773704294.7335773,ReferenceFreqMsg,"{'t': 1773704294.7335773, 'f_ref': 7.5}"
